criterion, level_description, score

"PORTADA", "NO", 0
"PORTADA", "SÍ", 0.25

"ÍNDICE", "NO", 0
"ÍNDICE", "SÍ", 0.25

"CALIDAD DE LA REDACCIÓN", "MAL", 0
"CALIDAD DE LA REDACCIÓN", "REGULAR", 0.25
"CALIDAD DE LA REDACCIÓN", "PERFECTO", 0.5

"SEGUIMIENTO DEL DOCUMENTO - Hacer los ejemplos y probarlos", "MAL", 0
"SEGUIMIENTO DEL DOCUMENTO - Hacer los ejemplos y probarlos", "FLOJO", 1
"SEGUIMIENTO DEL DOCUMENTO - Hacer los ejemplos y probarlos", "REGULAR", 2
"SEGUIMIENTO DEL DOCUMENTO - Hacer los ejemplos y probarlos", "BIEN", 3
"SEGUIMIENTO DEL DOCUMENTO - Hacer los ejemplos y probarlos", "PERFECTO", 4

"ACTIVIDAD 1 - autenticación", "MAL", 0
"ACTIVIDAD 1 - autenticación", "FLOJO", 0.25
"ACTIVIDAD 1 - autenticación", "REGULAR", 0.5
"ACTIVIDAD 1 - autenticación", "BIEN", 0.75
"ACTIVIDAD 1 - autenticación", "PERFECTO", 1

"ACTIVIDAD 2 - autenticación múltiple", "MAL", 0
"ACTIVIDAD 2 - autenticación múltiple", "FLOJO", 0.25
"ACTIVIDAD 2 - autenticación múltiple", "REGULAR", 0.5
"ACTIVIDAD 2 - autenticación múltiple", "BIEN", 0.75
"ACTIVIDAD 2 - autenticación múltiple", "PERFECTO", 1

"ACTIVIDAD 3 - Restricción", "MAL", 0
"ACTIVIDAD 3 - Restricción", "FLOJO", 0.5
"ACTIVIDAD 3 - Restricción", "REGULAR", 1
"ACTIVIDAD 3 - Restricción", "BIEN", 1.5
"ACTIVIDAD 3 - Restricción", "PERFECTO", 2
